date,department,amount
2026-02-04,食品,97235
2026-02-04,日用品,43133
2026-02-04,衣料品,50643
2026-02-04,雑貨,28766
2026-02-05,食品,106340
2026-02-05,日用品,42184
2026-02-05,衣料品,51089
2026-02-05,雑貨,29219
2026-02-06,食品,92854
2026-02-06,日用品,39592
2026-02-06,衣料品,56459
2026-02-06,雑貨,30815
2026-02-07,食品,131629
2026-02-07,日用品,55183
2026-02-07,衣料品,60562
2026-02-07,雑貨,37980
2026-02-08,食品,116711
2026-02-08,日用品,55160
2026-02-08,衣料品,62199
2026-02-08,雑貨,38064
2026-02-09,食品,86969
2026-02-09,日用品,41253
2026-02-09,衣料品,58088
2026-02-09,雑貨,29524
2026-02-10,食品,89506
2026-02-10,日用品,45290
2026-02-10,衣料品,57075
2026-02-10,雑貨,27570
2026-02-11,食品,96119
2026-02-11,日用品,41870
2026-02-11,衣料品,44072
2026-02-11,雑貨,33034
2026-02-12,食品,97566
2026-02-12,日用品,44352
2026-02-12,衣料品,48212
2026-02-12,雑貨,32335
2026-02-13,食品,93532
2026-02-13,日用品,43595
2026-02-13,衣料品,46751
2026-02-13,雑貨,28164
2026-02-14,食品,135242
2026-02-14,日用品,52888
2026-02-14,衣料品,65621
2026-02-14,雑貨,38894
2026-02-15,食品,117875
2026-02-15,日用品,52884
2026-02-15,衣料品,67357
2026-02-15,雑貨,38058
2026-02-16,食品,96565
2026-02-16,日用品,44178
2026-02-16,衣料品,56128
2026-02-16,雑貨,32898
2026-02-17,食品,100741
2026-02-17,日用品,42111
2026-02-17,衣料品,45628
2026-02-17,雑貨,33570
2026-02-18,食品,105307
2026-02-18,日用品,43603
2026-02-18,衣料品,53523
2026-02-18,雑貨,33150
2026-02-19,食品,104249
2026-02-19,日用品,47350
2026-02-19,衣料品,49430
2026-02-19,雑貨,34981
2026-02-20,食品,88001
2026-02-20,日用品,47140
2026-02-20,衣料品,53327
2026-02-20,雑貨,33380
2026-02-21,食品,140554
2026-02-21,日用品,61671
2026-02-21,衣料品,58250
2026-02-21,雑貨,33731
2026-02-22,食品,130172
2026-02-22,日用品,50648
2026-02-22,衣料品,64061
2026-02-22,雑貨,41619
2026-02-23,食品,84895
2026-02-23,日用品,36655
2026-02-23,衣料品,52364
2026-02-23,雑貨,31310
2026-02-24,食品,95827
2026-02-24,日用品,44235
2026-02-24,衣料品,47768
2026-02-24,雑貨,27422
2026-02-25,食品,96446
2026-02-25,日用品,40671
2026-02-25,衣料品,44555
2026-02-25,雑貨,32462
2026-02-26,食品,97269
2026-02-26,日用品,45534
2026-02-26,衣料品,47239
2026-02-26,雑貨,29557
2026-02-27,食品,89937
2026-02-27,日用品,40971
2026-02-27,衣料品,52101
2026-02-27,雑貨,29245
2026-02-28,食品,125668
2026-02-28,日用品,56623
2026-02-28,衣料品,74514
2026-02-28,雑貨,34654
2026-03-01,食品,128579
2026-03-01,日用品,54381
2026-03-01,衣料品,61828
2026-03-01,雑貨,33706
2026-03-02,食品,92505
2026-03-02,日用品,46423
2026-03-02,衣料品,49191
2026-03-02,雑貨,30701
2026-03-03,食品,93808
2026-03-03,日用品,47865
2026-03-03,衣料品,49433
2026-03-03,雑貨,25133
2026-03-04,食品,90724
2026-03-04,日用品,36917
2026-03-04,衣料品,36637
2026-03-04,雑貨,29209
2026-03-05,食品,106288
2026-03-05,日用品,43983
2026-03-05,衣料品,44873
2026-03-05,雑貨,28207
2026-03-06,食品,104728
2026-03-06,日用品,44371
2026-03-06,衣料品,49708
2026-03-06,雑貨,30372
2026-03-07,食品,120421
2026-03-07,日用品,58302
2026-03-07,衣料品,64633
2026-03-07,雑貨,38787
2026-03-08,食品,110036
2026-03-08,日用品,57012
2026-03-08,衣料品,58509
2026-03-08,雑貨,41465
2026-03-09,食品,86275
2026-03-09,日用品,43336
2026-03-09,衣料品,49488
2026-03-09,雑貨,27270
2026-03-10,食品,109272
2026-03-10,日用品,48938
2026-03-10,衣料品,47681
2026-03-10,雑貨,32386
2026-03-11,食品,98951
2026-03-11,日用品,34656
2026-03-11,衣料品,50510
2026-03-11,雑貨,30353
2026-03-12,食品,96681
2026-03-12,日用品,40043
2026-03-12,衣料品,48451
2026-03-12,雑貨,30068
2026-03-13,食品,105170
2026-03-13,日用品,44990
2026-03-13,衣料品,49496
2026-03-13,雑貨,34234
2026-03-14,食品,114719
2026-03-14,日用品,53066
2026-03-14,衣料品,52901
2026-03-14,雑貨,42915
2026-03-15,食品,129313
2026-03-15,日用品,58790
2026-03-15,衣料品,65209
2026-03-15,雑貨,38465
2026-03-16,食品,97697
2026-03-16,日用品,42935
2026-03-16,衣料品,48711
2026-03-16,雑貨,30635
2026-03-17,食品,107657
2026-03-17,日用品,45766
2026-03-17,衣料品,49286
2026-03-17,雑貨,29089
2026-03-18,食品,91162
2026-03-18,日用品,49436
2026-03-18,衣料品,51525
2026-03-18,雑貨,30668
2026-03-19,食品,93381
2026-03-19,日用品,39930
2026-03-19,衣料品,49253
2026-03-19,雑貨,32635
2026-03-20,食品,93025
2026-03-20,日用品,43022
2026-03-20,衣料品,48642
2026-03-20,雑貨,30770
2026-03-21,食品,104752
2026-03-21,日用品,53741
2026-03-21,衣料品,57666
2026-03-21,雑貨,40827
2026-03-22,食品,112651
2026-03-22,日用品,57301
2026-03-22,衣料品,69446
2026-03-22,雑貨,37172
2026-03-23,食品,91419
2026-03-23,日用品,44489
2026-03-23,衣料品,49510
2026-03-23,雑貨,28078
2026-03-24,食品,99583
2026-03-24,日用品,50884
2026-03-24,衣料品,48495
2026-03-24,雑貨,30008
2026-03-25,食品,88013
2026-03-25,日用品,44937
2026-03-25,衣料品,44578
2026-03-25,雑貨,27802
2026-03-26,食品,105873
2026-03-26,日用品,40644
2026-03-26,衣料品,53801
2026-03-26,雑貨,34223
2026-03-27,食品,98034
2026-03-27,日用品,45758
2026-03-27,衣料品,57251
2026-03-27,雑貨,30023
2026-03-28,食品,114356
2026-03-28,日用品,48843
2026-03-28,衣料品,62104
2026-03-28,雑貨,42641
2026-03-29,食品,129268
2026-03-29,日用品,50645
2026-03-29,衣料品,57662
2026-03-29,雑貨,36591
2026-03-30,食品,98287
2026-03-30,日用品,43098
2026-03-30,衣料品,50367
2026-03-30,雑貨,31227
2026-03-31,食品,93746
2026-03-31,日用品,43677
2026-03-31,衣料品,50336
2026-03-31,雑貨,30298
2026-04-01,食品,95055
2026-04-01,日用品,49493
2026-04-01,衣料品,46764
2026-04-01,雑貨,28727
2026-04-02,食品,79049
2026-04-02,日用品,44386
2026-04-02,衣料品,37696
2026-04-02,雑貨,25376
2026-04-03,食品,97622
2026-04-03,日用品,45482
2026-04-03,衣料品,44114
2026-04-03,雑貨,24687
2026-04-04,食品,110825
2026-04-04,日用品,50890
2026-04-04,衣料品,58655
2026-04-04,雑貨,42207
2026-04-05,食品,116200
2026-04-05,日用品,50457
2026-04-05,衣料品,50585
2026-04-05,雑貨,35589
2026-04-06,食品,90082
2026-04-06,日用品,39084
2026-04-06,衣料品,45065
2026-04-06,雑貨,25966
2026-04-07,食品,99504
2026-04-07,日用品,46709
2026-04-07,衣料品,48524
2026-04-07,雑貨,27515
2026-04-08,食品,95136
2026-04-08,日用品,42595
2026-04-08,衣料品,43261
2026-04-08,雑貨,27824
2026-04-09,食品,81874
2026-04-09,日用品,38077
2026-04-09,衣料品,47487
2026-04-09,雑貨,28162
2026-04-10,食品,92957
2026-04-10,日用品,46499
2026-04-10,衣料品,38459
2026-04-10,雑貨,26805
2026-04-11,食品,115820
2026-04-11,日用品,55500
2026-04-11,衣料品,54128
2026-04-11,雑貨,38693
2026-04-12,食品,116141
2026-04-12,日用品,48588
2026-04-12,衣料品,51656
2026-04-12,雑貨,38053
2026-04-13,食品,94765
2026-04-13,日用品,36509
2026-04-13,衣料品,49464
2026-04-13,雑貨,29968
2026-04-14,食品,101194
2026-04-14,日用品,41728
2026-04-14,衣料品,43593
2026-04-14,雑貨,26022
2026-04-15,食品,109919
2026-04-15,日用品,42445
2026-04-15,衣料品,50320
2026-04-15,雑貨,27118
2026-04-16,食品,92572
2026-04-16,日用品,37293
2026-04-16,衣料品,43282
2026-04-16,雑貨,30850
2026-04-17,食品,82224
2026-04-17,日用品,46742
2026-04-17,衣料品,45854
2026-04-17,雑貨,26211
2026-04-18,食品,109635
2026-04-18,日用品,51836
2026-04-18,衣料品,55591
2026-04-18,雑貨,34216
2026-04-19,食品,106659
2026-04-19,日用品,52501
2026-04-19,衣料品,51227
2026-04-19,雑貨,32061
2026-04-20,食品,91022
2026-04-20,日用品,46090
2026-04-20,衣料品,39187
2026-04-20,雑貨,28608
2026-04-21,食品,86623
2026-04-21,日用品,39684
2026-04-21,衣料品,47698
2026-04-21,雑貨,27414
2026-04-22,食品,102327
2026-04-22,日用品,40364
2026-04-22,衣料品,46030
2026-04-22,雑貨,28079
2026-04-23,食品,85863
2026-04-23,日用品,45073
2026-04-23,衣料品,44096
2026-04-23,雑貨,29980
2026-04-24,食品,91029
2026-04-24,日用品,39310
2026-04-24,衣料品,44285
2026-04-24,雑貨,28718
2026-04-25,食品,122976
2026-04-25,日用品,49911
2026-04-25,衣料品,55636
2026-04-25,雑貨,30825
2026-04-26,食品,120171
2026-04-26,日用品,49156
2026-04-26,衣料品,47747
2026-04-26,雑貨,35580
2026-04-27,食品,99457
2026-04-27,日用品,37799
2026-04-27,衣料品,40763
2026-04-27,雑貨,26899
2026-04-28,食品,83118
2026-04-28,日用品,44356
2026-04-28,衣料品,41766
2026-04-28,雑貨,26949
2026-04-29,食品,95638
2026-04-29,日用品,40448
2026-04-29,衣料品,46195
2026-04-29,雑貨,26377
2026-04-30,食品,82514
2026-04-30,日用品,36728
2026-04-30,衣料品,51298
2026-04-30,雑貨,27867
2026-05-01,食品,86658
2026-05-01,日用品,41895
2026-05-01,衣料品,38486
2026-05-01,雑貨,26103
2026-05-02,食品,122469
2026-05-02,日用品,48136
2026-05-02,衣料品,41581
2026-05-02,雑貨,29868
2026-05-03,食品,94904
2026-05-03,日用品,55637
2026-05-03,衣料品,50617
2026-05-03,雑貨,30000
2026-05-04,食品,75545
2026-05-04,日用品,40807
2026-05-04,衣料品,42229
2026-05-04,雑貨,20135
2026-05-05,食品,88581
2026-05-05,日用品,38385
2026-05-05,衣料品,41162
2026-05-05,雑貨,23757
2026-05-06,食品,83059
2026-05-06,日用品,36938
2026-05-06,衣料品,35029
2026-05-06,雑貨,28882
2026-05-07,食品,90579
2026-05-07,日用品,40650
2026-05-07,衣料品,35354
2026-05-07,雑貨,22060
2026-05-08,食品,82323
2026-05-08,日用品,41896
2026-05-08,衣料品,37744
2026-05-08,雑貨,25804
2026-05-09,食品,96714
2026-05-09,日用品,52221
2026-05-09,衣料品,47353
2026-05-09,雑貨,35855
2026-05-10,食品,122117
2026-05-10,日用品,51924
2026-05-10,衣料品,44588
2026-05-10,雑貨,32331
2026-05-11,食品,80868
2026-05-11,日用品,39505
2026-05-11,衣料品,37821
2026-05-11,雑貨,23829
2026-05-12,食品,89121
2026-05-12,日用品,41650
2026-05-12,衣料品,38760
2026-05-12,雑貨,25619
2026-05-13,食品,80054
2026-05-13,日用品,38814
2026-05-13,衣料品,37278
2026-05-13,雑貨,24858
2026-05-14,食品,86590
2026-05-14,日用品,41985
2026-05-14,衣料品,33858
2026-05-14,雑貨,26139
2026-05-15,食品,75868
2026-05-15,日用品,39928
2026-05-15,衣料品,37105
2026-05-15,雑貨,21683
2026-05-16,食品,107027
2026-05-16,日用品,53134
2026-05-16,衣料品,46899
2026-05-16,雑貨,31396
2026-05-17,食品,103074
2026-05-17,日用品,48398
2026-05-17,衣料品,46475
2026-05-17,雑貨,31063
2026-05-18,食品,85623
2026-05-18,日用品,37954
2026-05-18,衣料品,38716
2026-05-18,雑貨,26297
2026-05-19,食品,84037
2026-05-19,日用品,40524
2026-05-19,衣料品,39679
2026-05-19,雑貨,22537
2026-05-20,食品,88131
2026-05-20,日用品,42816
2026-05-20,衣料品,38861
2026-05-20,雑貨,26797
2026-05-21,食品,80555
2026-05-21,日用品,41128
2026-05-21,衣料品,39936
2026-05-21,雑貨,26895
2026-05-22,食品,86405
2026-05-22,日用品,36911
2026-05-22,衣料品,39635
2026-05-22,雑貨,28432
2026-05-23,食品,114832
2026-05-23,日用品,53482
2026-05-23,衣料品,41580
2026-05-23,雑貨,34950
2026-05-24,食品,104998
2026-05-24,日用品,41863
2026-05-24,衣料品,48933
2026-05-24,雑貨,28620
2026-05-25,食品,76184
2026-05-25,日用品,39866
2026-05-25,衣料品,41868
2026-05-25,雑貨,25228
2026-05-26,食品,86842
2026-05-26,日用品,47873
2026-05-26,衣料品,42845
2026-05-26,雑貨,25785
2026-05-27,食品,83357
2026-05-27,日用品,37763
2026-05-27,衣料品,35888
2026-05-27,雑貨,26884
2026-05-28,食品,87690
2026-05-28,日用品,42370
2026-05-28,衣料品,41024
2026-05-28,雑貨,24393
2026-05-29,食品,84618
2026-05-29,日用品,44456
2026-05-29,衣料品,39775
2026-05-29,雑貨,28227
2026-05-30,食品,109624
2026-05-30,日用品,51200
2026-05-30,衣料品,48876
2026-05-30,雑貨,29893
2026-05-31,食品,92314
2026-05-31,日用品,54938
2026-05-31,衣料品,47290
2026-05-31,雑貨,33301
2026-06-01,食品,67946
2026-06-01,日用品,39753
2026-06-01,衣料品,29845
2026-06-01,雑貨,21782
2026-06-02,食品,64440
2026-06-02,日用品,39852
2026-06-02,衣料品,33600
2026-06-02,雑貨,24113
2026-06-03,食品,74845
2026-06-03,日用品,40901
2026-06-03,衣料品,33248
2026-06-03,雑貨,18232
2026-06-04,食品,77841
2026-06-04,日用品,42729
2026-06-04,衣料品,33060
2026-06-04,雑貨,26583
2026-06-05,食品,85764
2026-06-05,日用品,41973
2026-06-05,衣料品,32107
2026-06-05,雑貨,24873
2026-06-06,食品,94040
2026-06-06,日用品,51022
2026-06-06,衣料品,42028
2026-06-06,雑貨,33830
2026-06-07,食品,97029
2026-06-07,日用品,50989
2026-06-07,衣料品,39809
2026-06-07,雑貨,32393
2026-06-08,食品,78434
2026-06-08,日用品,45763
2026-06-08,衣料品,28925
2026-06-08,雑貨,23051
2026-06-09,食品,77378
2026-06-09,日用品,43526
2026-06-09,衣料品,33971
2026-06-09,雑貨,20574
2026-06-10,食品,72868
2026-06-10,日用品,42053
2026-06-10,衣料品,29697
2026-06-10,雑貨,20550
2026-06-11,食品,85157
2026-06-11,日用品,42568
2026-06-11,衣料品,32586
2026-06-11,雑貨,22509
2026-06-12,食品,85097
2026-06-12,日用品,40163
2026-06-12,衣料品,34099
2026-06-12,雑貨,21693
2026-06-13,食品,91565
2026-06-13,日用品,52025
2026-06-13,衣料品,36985
2026-06-13,雑貨,30830
2026-06-14,食品,100326
2026-06-14,日用品,47407
2026-06-14,衣料品,39415
2026-06-14,雑貨,28428
2026-06-15,食品,84385
2026-06-15,日用品,38877
2026-06-15,衣料品,30248
2026-06-15,雑貨,25667
2026-06-16,食品,92705
2026-06-16,日用品,47498
2026-06-16,衣料品,31508
2026-06-16,雑貨,23809
2026-06-17,食品,88270
2026-06-17,日用品,40542
2026-06-17,衣料品,28901
2026-06-17,雑貨,23618
2026-06-18,食品,81465
2026-06-18,日用品,38233
2026-06-18,衣料品,27221
2026-06-18,雑貨,20710
2026-06-19,食品,82810
2026-06-19,日用品,38465
2026-06-19,衣料品,30995
2026-06-19,雑貨,23797
2026-06-20,食品,103149
2026-06-20,日用品,49816
2026-06-20,衣料品,40750
2026-06-20,雑貨,27167
2026-06-21,食品,95437
2026-06-21,日用品,46992
2026-06-21,衣料品,42735
2026-06-21,雑貨,29186
2026-06-22,食品,73974
2026-06-22,日用品,39795
2026-06-22,衣料品,30793
2026-06-22,雑貨,24711
2026-06-23,食品,68588
2026-06-23,日用品,37552
2026-06-23,衣料品,30401
2026-06-23,雑貨,28140
2026-06-24,食品,84636
2026-06-24,日用品,40584
2026-06-24,衣料品,33135
2026-06-24,雑貨,27251
2026-06-25,食品,77154
2026-06-25,日用品,39749
2026-06-25,衣料品,34389
2026-06-25,雑貨,24325
2026-06-26,食品,82847
2026-06-26,日用品,39285
2026-06-26,衣料品,36175
2026-06-26,雑貨,26600
2026-06-27,食品,102731
2026-06-27,日用品,53989
2026-06-27,衣料品,32832
2026-06-27,雑貨,30742
2026-06-28,食品,96755
2026-06-28,日用品,52964
2026-06-28,衣料品,41327
2026-06-28,雑貨,28451
2026-06-29,食品,67991
2026-06-29,日用品,42155
2026-06-29,衣料品,29490
2026-06-29,雑貨,22781
